Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
15	206.142669	43.804710	95.000000	0.011745	114058.000000	18.397998
20	2258.948884	75.269417	1054.000000	0.135295	114058.000000	23.269969
25	5406.036039	116.911310	2488.000000	0.208559	114058.000000	23.923063
30	4879.246891	110.502365	2272.000000	0.248298	114058.000000	30.003146
35	1567.172030	62.242501	755.000000	0.096652	114058.000000	39.454771
40	325.751958	29.197835	189.000000	0.038156	114058.000000	39.990841
60	13765.962111	185.421747	6809.000000	0.122399	114058.000000	63.791596
65	24307.569618	246.498406	11848.000000	0.187768	114058.000000	66.789970
70	28714.186656	267.033704	13368.000000	0.184714	114058.000000	74.065084
75	31629.391630	281.202820	14360.000000	0.182340	114058.000000	78.365504
80	32804.526886	285.346305	14676.000000	0.170177	114058.000000	82.265951
85	48364.609090	347.734789	21144.000000	0.237242	114058.000000	90.910112
90	43155.412390	328.389880	19024.000000	0.196901	114058.000000	95.277281
95	41849.645243	322.372622	18774.000000	0.189978	114058.000000	99.207320
100	45133.342329	335.937383	20464.000000	0.199395	114058.000000	101.339325
105	42549.245275	325.969407	19930.000000	0.197756	114058.000000	107.577020
110	34442.610226	293.444115	16774.000000	0.176514	114058.000000	115.012137
115	32320.136454	284.256413	16911.000000	0.187936	114058.000000	118.659959
120	21071.409077	229.545646	9907.000000	0.138880	114058.000000	121.410286
135	23309.794869	241.400972	13147.000000	0.203988	114058.000000	137.859646
140	44072.242976	331.959055	21301.000000	0.317127	114058.000000	143.793789
145	10555.664313	162.611703	5370.000000	0.081052	114058.000000	148.797681
150	36836.967823	303.532364	18191.000000	0.270949	114058.000000	151.202505
155	33956.773911	292.096088	16373.000000	0.238968	114058.000000	158.181953
160	18617.501705	218.905388	11388.000000	0.161316	114058.000000	159.508805
165	717699375309.294678	858112732294.002686	1153.000000	0.014873	114058.000000	163.716374
