Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
58	4859.000000	1.414214	105265.000000	0.043054	3145.000000	59.112932
63	8431.001956	11408.588339	221346.000000	0.090104	3145.000000	64.436040
68	10829.156785	17179.164126	232902.000000	0.095004	3145.000000	66.019115
73	11542.892941	17372.677871	241147.000000	0.098216	3145.000000	71.922976
78	-228766.505756	1.414214	195831.000000	0.079827	3145.000000	79.220871
83	9532.402579	16146.966933	202673.000000	0.082963	3145.000000	82.788023
88	-246137.969497	1.414214	206511.000000	0.084843	3145.000000	86.360992
93	17787.224885	20687.229484	413090.000000	0.169644	3145.000000	90.907683
98	-196411.602820	1.414214	200375.000000	0.081983	3145.000000	99.332390
103	9076.000000	1.414214	191809.000000	0.078455	3145.000000	103.793488
108	10079.877169	17025.516201	215201.000000	0.088062	3145.000000	107.862038
113	-231337.919472	1.414214	224554.000000	0.091577	3145.000000	114.374897
118	9377.096273	16528.381111	207059.000000	0.084830	3145.000000	119.759843
