Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge
64	2814.220874	53.033082	4548.000000	0.087698	265486.000000
69	5773.287001	76.005189	8090.000000	0.136206	265486.000000
74	6561.858648	81.016838	8334.000000	0.125158	265486.000000
79	7978.914526	89.350994	9415.000000	0.132452	265486.000000
84	13052.762518	114.235193	14765.000000	0.196333	265486.000000
89	15338.253343	123.861471	17080.000000	0.224695	265486.000000
94	8944.013625	94.624541	10025.000000	0.140003	265486.000000
99	7758.527712	87.947900	9002.000000	0.135683	265486.000000
104	5999.620954	77.568229	7049.000000	0.129303	265486.000000
109	3256.992364	57.183115	4287.000000	0.137878	265486.000000
114	729.151777	27.380166	1267.000000	0.095894	265486.000000
134	1149.630127	34.093216	1481.000000	0.049337	265486.000000
139	7223.213334	84.971175	8308.000000	0.323260	265486.000000
144	2480.696787	50.005590	2804.000000	0.122935	265486.000000
149	4218.109522	65.033068	4721.000000	0.223477	265486.000000
154	3998.642042	63.347940	4503.000000	0.242557	265486.000000
159	2087.729730	45.943568	2448.000000	0.154362	265486.000000
