Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
56	11649.163095	107.931280	15374.000000	0.030367	72056.000000
61	29506.486996	174.387523	41110.000000	0.096163	72056.000000
66	4793.952295	104.858584	47081.000000	0.116407	72056.000000
71	6215.190850	305.679572	44771.000000	0.116407	72056.000000
76	23433.866933	153.604056	38645.000000	0.101224	72056.000000
81	16348.658331	126.353038	29331.000000	0.086040	72056.000000
86	14409.421207	188.476332	33491.000000	0.098013	72056.000000
91	4078.887606	96.179412	26637.000000	0.086040	72056.000000
96	4175.452451	107.093315	27829.000000	0.101224	72056.000000
101	13283.290408	123.795061	24884.000000	0.111346	72056.000000
106	2780.834052	120.660158	16610.000000	0.091101	72056.000000
111	8061.256167	165.196255	14801.000000	0.108135	72056.000000
116	4308.025929	160.823748	9152.000000	0.116407	72056.000000
121	670.256083	56.243189	1436.000000	0.030367	72056.000000
136	86389.085430	399.642460	130060.000000	0.414637	72056.000000
141	118088.016094	505.729560	260288.000000	0.829655	72056.000000
146	11181.008575	108.226245	35908.000000	0.106775	72056.000000
151	66285.086432	260.906403	210343.000000	0.667697	72056.000000
156	58100.449767	241.836726	179688.000000	0.590223	72056.000000
161	31243.311994	177.423518	132978.000000	0.486623	72056.000000
