Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
17	-162477.768093	1.414214	32.000000	0.020805	19617.000000	18.704989
19	-141418.356237	1.414214	24.000000	0.028340	19617.000000	20.201108
21	4.000000	1.414214	35.000000	0.040303	19617.000000	23.117311
23	6.000000	1.414214	43.000000	0.037651	19617.000000	24.523931
25	-246566.560119	1.414214	75.000000	0.088225	19617.000000	27.273923
27	5.000000	14626037.819591	37.000000	0.036929	19617.000000	28.608393
29	222.796468	196.612140	53.000000	0.065930	19617.000000	31.163840
31	194.628171	27.357135	88.000000	0.083772	19617.000000	33.613389
35	1.248394	18.602391	1.000000	0.002074	19617.000000	37.044833
37	103.997923	113.300502	5.000000	0.008290	19617.000000	38.130446
57	188.059787	42.193744	97.000000	0.039858	19617.000000	59.615678
59	227.399729	38.432448	88.000000	0.031952	19617.000000	62.618395
61	287.311814	69.048107	83.000000	0.031329	19617.000000	64.322074
63	310.756029	31.250107	137.000000	0.048011	19617.000000	66.791454
65	160.125060	21.871411	77.000000	0.022309	19617.000000	67.472810
67	329.138185	30.638847	149.000000	0.048568	19617.000000	70.719767
69	161.857426	27.219084	75.000000	0.024338	19617.000000	72.057790
71	230.819401	26.891561	118.000000	0.040693	19617.000000	74.029256
73	362.344914	31.335571	178.000000	0.042594	19617.000000	75.510025
75	-176629.217327	1.414214	38.000000	0.012203	19617.000000	77.401079
77	630.611046	41.924360	268.000000	0.072126	19617.000000	80.283987
79	-201985.098767	1.414214	50.000000	0.012834	19617.000000	81.855783
81	566.135492	38.420463	288.000000	0.070677	19617.000000	85.127329
83	246.352693	74.528614	71.000000	0.018150	19617.000000	85.991664
85	244.072702	29.176490	120.000000	0.029036	19617.000000	89.477374
87	584.933894	39.163805	281.000000	0.062128	19617.000000	90.098429
91	917.337582	48.544930	412.000000	0.091750	19617.000000	94.292257
95	918.065537	48.116205	438.000000	0.090527	19617.000000	98.919165
99	356.918177	31.844549	167.000000	0.034230	19617.000000	102.712539
101	507.246205	36.505048	262.000000	0.053385	19617.000000	103.982306
103	290.655286	33.216829	149.000000	0.027221	19617.000000	106.792665
105	512.261527	36.620961	283.000000	0.056061	19617.000000	108.597971
107	153870.856458	1126691.938486	105.000000	0.020936	19617.000000	111.342639
109	608.388296	40.974078	318.000000	0.056955	19617.000000	111.426694
111	106824.979962	814410.090624	98.000000	0.019528	19617.000000	113.868306
113	744.574911	217.295794	215.000000	0.044351	19617.000000	115.864464
115	3407.264776	14071.123884	104.000000	0.030017	19617.000000	118.140067
117	1036.629165	869.551067	198.000000	0.046473	19617.000000	120.445714
119	-56567.542495	1.414214	3.000000	0.006947	19617.000000	121.344550
121	1.243420	18.263726	13.000000	0.026528	19617.000000	124.736630
137	1038.751990	51.008408	648.000000	0.125641	19617.000000	138.945876
139	1113.177425	52.775127	636.000000	0.128357	19617.000000	140.549639
141	2312.787950	76.209409	1088.000000	0.196421	19617.000000	143.182591
143	654.145953	41.009650	334.000000	0.066158	19617.000000	145.016524
149	1478.462521	60.923171	749.000000	0.130696	19617.000000	151.152202
151	1506.311781	61.753870	742.000000	0.127662	19617.000000	153.416259
153	767.683776	44.288682	381.000000	0.062196	19617.000000	154.572450
155	1356.726469	58.735571	656.000000	0.120033	19617.000000	156.981195
157	615.863775	40.094775	301.000000	0.057373	19617.000000	158.226082
159	1481.828977	61.037713	698.000000	0.108251	19617.000000	159.509538
161	608.143699	40.397854	294.000000	0.050382	19617.000000	162.085707
