Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	114251.000000
5		0.000000	0.000000	0.000000	114251.000000
10		0.000000	0.000000	0.000000	114251.000000
15		0.000000	0.000000	0.000000	114251.000000
20		0.000000	0.000000	0.000000	114251.000000
25		0.000000	0.000000	0.000000	114251.000000
30		0.000000	0.000000	0.000000	114251.000000
35		0.000000	0.000000	0.000000	114251.000000
40		0.000000	0.000000	0.000000	114251.000000
45		0.000000	0.000000	0.000000	114251.000000
50		0.000000	0.000000	0.000000	114251.000000
55		0.000000	0.016514	575.000000	114251.000000
60		0.000000	0.072307	2658.000000	114251.000000
65		1.000000	0.100091	3842.000000	114251.000000
70		0.000000	0.083969	3280.000000	114251.000000
75		4.000000	0.191441	6915.000000	114251.000000
80		7.000000	0.193904	7852.000000	114251.000000
85		13.000000	0.258359	9865.000000	114251.000000
90		9.000000	0.205077	7115.000000	114251.000000
95		10.000000	0.116947	4361.000000	114251.000000
100		4.000000	0.096606	3732.000000	114251.000000
105		10.000000	0.115244	3917.000000	114251.000000
110		3.000000	0.080580	1669.000000	114251.000000
115		1.000000	0.015706	251.000000	114251.000000
120		0.000000	0.000000	0.000000	114251.000000
125		0.000000	0.000000	0.000000	114251.000000
130		0.000000	0.000000	0.000000	114251.000000
135		0.000000	0.000000	0.000000	114251.000000
140		0.000000	0.000000	0.000000	114251.000000
145		0.000000	0.000000	0.000000	114251.000000
150		0.000000	0.000000	0.000000	114251.000000
155		0.000000	0.000000	0.000000	114251.000000
160		0.000000	0.000000	0.000000	114251.000000
165		0.000000	0.000000	0.000000	114251.000000
170		0.000000	0.000000	0.000000	114251.000000
175		0.000000	0.000000	0.000000	114251.000000
