Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	307881.000000
5		0.000000	0.000000	0.000000	307881.000000
10		0.000000	0.000000	0.000000	307881.000000
15		0.000000	0.000000	0.000000	307881.000000
20		0.000000	0.000000	0.000000	307881.000000
25		0.000000	0.000000	0.000000	307881.000000
30		0.000000	0.000000	0.000000	307881.000000
35		0.000000	0.000000	0.000000	307881.000000
40		0.000000	0.000000	0.000000	307881.000000
45		0.000000	0.000000	0.000000	307881.000000
50		0.000000	0.000000	0.000000	307881.000000
55		5.000000	0.021313	730.000000	307881.000000
60		45.000000	0.131279	4452.000000	307881.000000
65		94.000000	0.214605	8419.000000	307881.000000
70		103.000000	0.169266	7693.000000	307881.000000
75		130.000000	0.202007	10467.000000	307881.000000
80		116.000000	0.189570	10035.000000	307881.000000
85		150.000000	0.214757	12614.000000	307881.000000
90		152.000000	0.182416	11395.000000	307881.000000
95		195.000000	0.216027	14213.000000	307881.000000
100		162.000000	0.200608	12461.000000	307881.000000
105		108.000000	0.184792	11470.000000	307881.000000
110		76.000000	0.204246	7931.000000	307881.000000
115		10.000000	0.172169	790.000000	307881.000000
120		0.000000	0.087216	5.000000	307881.000000
125		0.000000	0.003994	1.000000	307881.000000
130		0.000000	0.000000	0.000000	307881.000000
135		0.000000	0.000000	0.000000	307881.000000
140		0.000000	0.000000	0.000000	307881.000000
145		0.000000	0.000000	0.000000	307881.000000
150		0.000000	0.000000	0.000000	307881.000000
155		0.000000	0.000000	0.000000	307881.000000
160		0.000000	0.000000	0.000000	307881.000000
165		0.000000	0.000000	0.000000	307881.000000
170		0.000000	0.000000	0.000000	307881.000000
175		0.000000	0.000000	0.000000	307881.000000
