Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	2454.157433	78.382874	1078.000000	0.075684	40667.000000	64.066032
65	3411.825814	92.452015	1502.000000	0.092872	40667.000000	69.411649
70	3329.985725	91.399780	1476.000000	0.087398	40667.000000	73.375014
75	5726.407638	119.664201	2743.000000	0.158553	40667.000000	80.422379
80	7137.985359	133.588483	3261.000000	0.170177	40667.000000	84.412521
85	11007.481674	165.865872	4938.000000	0.237242	40667.000000	90.787350
90	9498.817281	154.174016	4260.000000	0.196901	40667.000000	91.017035
95	5293.320773	115.177719	2362.000000	0.104357	40667.000000	96.541727
100	6889.496683	131.459236	2991.000000	0.121429	40667.000000	104.911749
105	5997.059489	125.933620	2634.000000	0.107960	40667.000000	108.380459
110	4153.095159	102.045246	1802.000000	0.072821	40667.000000	112.058467
135	8395.250155	144.872332	4363.000000	0.203988	40667.000000	137.598296
140	15311.272908	195.655680	6666.000000	0.317127	40667.000000	143.720685
145	3752.393257	96.925297	1682.000000	0.081052	40667.000000	144.625009
150	13211.385225	181.841442	5780.000000	0.270949	40667.000000	152.666689
155	12183.714631	174.543868	5279.000000	0.238968	40667.000000	154.963955
160	6705.097647	129.628772	2998.000000	0.124580	40667.000000	162.070290
