Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	971.649425	132.713036	4468.000000	0.112128	233964.000000
65	576.252585	306.457392	5888.000000	0.128378	233964.000000
70	36844.318408	1.414198	5634.000000	0.111633	233964.000000
75	12886.096796	17676.212972	10537.000000	0.179107	233964.000000
80	19675.587771	11157.511699	12875.000000	0.184195	233964.000000
85	-670158.766449	338976.403358	16937.000000	0.240012	233964.000000
90	487.257494	123.654252	13734.000000	0.206522	233964.000000
95	273.552510	44.589287	9114.000000	0.111633	233964.000000
100	202.629399	33.390423	10222.000000	0.128378	233964.000000
105	2231293.870510	131141.385812	8093.000000	0.117215	233964.000000
110	357.664070	978.658361	2961.000000	0.089801	233964.000000
