Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	523.311014	36.325891	253.000000	0.075684	14637.000000	64.851563
65	889.795460	47.413644	401.000000	0.092872	14637.000000	69.388421
70	855.210050	46.657217	390.000000	0.087398	14637.000000	75.266642
75	1746.068397	66.279704	838.000000	0.158553	14637.000000	77.284041
80	1872.076960	68.498021	919.000000	0.170177	14637.000000	83.301991
85	3118.230503	88.435506	1426.000000	0.237242	14637.000000	87.781982
90	2480.712489	79.075417	1157.000000	0.196901	14637.000000	95.191450
95	1402.735308	59.597061	651.000000	0.104357	14637.000000	100.591096
100	1839.660771	68.227556	814.000000	0.121429	14637.000000	100.826546
105	1636.773172	64.532259	732.000000	0.107960	14637.000000	108.359484
110	1095.399680	52.654309	531.000000	0.072821	14637.000000	112.029884
135	2683.564854	81.917534	1430.000000	0.203988	14637.000000	138.822168
140	4963.516385	111.405064	2186.000000	0.317127	14637.000000	142.743563
145	1123.420996	53.457078	519.000000	0.081052	14637.000000	148.287755
150	4085.769460	101.480686	1826.000000	0.270949	14637.000000	152.321106
155	4088.281059	101.437877	1778.000000	0.238968	14637.000000	156.358456
160	1923.997211	69.387140	897.000000	0.124580	14637.000000	161.235913
