Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	7637.828597	138.242357	3288.000000	0.075684	108558.000000	61.921006
65	10646.314446	163.250629	4593.000000	0.092872	108558.000000	68.300381
70	11181.692088	167.304459	4836.000000	0.087398	108558.000000	72.571424
75	20024.247530	223.727352	9385.000000	0.158553	108558.000000	79.739756
80	23793.659653	243.097403	10794.000000	0.170177	108558.000000	84.483468
85	37261.766956	305.195016	16456.000000	0.237242	108558.000000	88.546433
90	31736.802074	281.765650	13882.000000	0.196901	108558.000000	95.114865
95	17385.836155	208.789953	7495.000000	0.104357	108558.000000	100.766728
100	20953.339473	228.915417	8992.000000	0.121429	108558.000000	101.376634
105	19278.542000	225.670459	8232.000000	0.107960	108558.000000	107.766080
110	11102.206509	166.660322	4749.000000	0.072821	108558.000000	112.151823
135	17857.076151	211.288082	9321.000000	0.203988	108558.000000	137.669521
140	32107.927561	282.961676	13970.000000	0.317127	108558.000000	140.070909
145	7829.211604	139.973608	3475.000000	0.081052	108558.000000	148.261487
150	25930.870237	254.632881	11449.000000	0.270949	108558.000000	151.111060
155	22771.646906	238.637210	9952.000000	0.238968	108558.000000	157.965736
160	11978.419174	173.099330	5246.000000	0.124580	108558.000000	159.520208
