Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	233964.000000
5		0.000000	0.000000	0.000000	233964.000000
10		0.000000	0.000000	0.000000	233964.000000
15		0.000000	0.000000	0.000000	233964.000000
20		0.000000	0.000000	0.000000	233964.000000
25		0.000000	0.000000	0.000000	233964.000000
30		0.000000	0.000000	0.000000	233964.000000
35		0.000000	0.000000	0.000000	233964.000000
40		0.000000	0.000000	0.000000	233964.000000
45		0.000000	0.000000	0.000000	233964.000000
50		0.000000	0.000000	0.000000	233964.000000
55		0.000000	0.016625	571.000000	233964.000000
60		3.000000	0.090999	3260.000000	233964.000000
65		3.000000	0.086049	3769.000000	233964.000000
70		3.000000	0.119120	5460.000000	233964.000000
75		7.000000	0.148771	6558.000000	233964.000000
80		20.000000	0.217892	10817.000000	233964.000000
85		18.000000	0.249637	12960.000000	233964.000000
90		16.000000	0.157473	7759.000000	233964.000000
95		22.000000	0.150296	8574.000000	233964.000000
100		21.000000	0.093827	5797.000000	233964.000000
105		35.000000	0.119382	7373.000000	233964.000000
110		12.000000	0.079557	3020.000000	233964.000000
115		3.000000	0.017118	736.000000	233964.000000
120		0.000000	0.000000	0.000000	233964.000000
125		0.000000	0.000000	0.000000	233964.000000
130		0.000000	0.000000	0.000000	233964.000000
135		0.000000	0.000000	0.000000	233964.000000
140		0.000000	0.000000	0.000000	233964.000000
145		0.000000	0.000000	0.000000	233964.000000
150		0.000000	0.000000	0.000000	233964.000000
155		0.000000	0.000000	0.000000	233964.000000
160		0.000000	0.000000	0.000000	233964.000000
165		0.000000	0.000000	0.000000	233964.000000
170		0.000000	0.000000	0.000000	233964.000000
175		0.000000	0.000000	0.000000	233964.000000
