Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	421.550357	1847.930092	8.000000	0.027072	28858.000000	65.517071
65	3368.524572	69800.617312	6.000000	0.018362	28858.000000	71.303701
70	119.790103	305.110415	9.000000	0.028345	28858.000000	75.629249
75	450.418944	609.809174	40.000000	0.107858	28858.000000	78.571896
80	540.709625	266.434369	57.000000	0.138113	28858.000000	82.972737
85	325.928248	104.866709	99.000000	0.202913	28858.000000	87.520279
90	318.664117	81.934930	98.000000	0.178125	28858.000000	96.556436
95	229.694039	81.720589	72.000000	0.104357	28858.000000	98.011707
100	316.940429	185.739732	86.000000	0.121429	28858.000000	106.708920
105	224.010753	34.692599	81.000000	0.102861	28858.000000	111.234542
110	150.465910	34.925215	64.000000	0.072821	28858.000000	113.449513
135	752.756701	314.810645	98.000000	0.127424	28858.000000	137.774202
140	-437.159694	72.641394	153.000000	0.195905	28858.000000	141.914114
145	121774.597380	981267.062811	38.000000	0.055191	28858.000000	148.714302
150	255.706537	40.084717	132.000000	0.166969	28858.000000	154.086708
155	295.932176	32.473249	136.000000	0.158728	28858.000000	156.962735
160	307.062777	92.582383	81.000000	0.076567	28858.000000	160.940756
