Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	108558.000000
5		0.000000	0.000000	0.000000	108558.000000
10		0.000000	0.000000	0.000000	108558.000000
15		0.000000	0.000000	0.000000	108558.000000
20		0.000000	0.000000	0.000000	108558.000000
25		0.000000	0.000000	0.000000	108558.000000
30		0.000000	0.000000	0.000000	108558.000000
35		0.000000	0.000000	0.000000	108558.000000
40		0.000000	0.000000	0.000000	108558.000000
45		0.000000	0.000000	0.000000	108558.000000
50		0.000000	0.000000	0.000000	108558.000000
55		0.000000	0.016679	512.000000	108558.000000
60		4.000000	0.086740	3138.000000	108558.000000
65		0.000000	0.098395	4108.000000	108558.000000
70		1.000000	0.084454	3942.000000	108558.000000
75		2.000000	0.170955	6500.000000	108558.000000
80		13.000000	0.215938	10753.000000	108558.000000
85		12.000000	0.196981	10650.000000	108558.000000
90		7.000000	0.216309	11913.000000	108558.000000
95		19.000000	0.151288	8659.000000	108558.000000
100		10.000000	0.083364	5278.000000	108558.000000
105		13.000000	0.122345	7719.000000	108558.000000
110		5.000000	0.076253	4421.000000	108558.000000
115		0.000000	0.027045	1589.000000	108558.000000
120		0.000000	0.000000	0.000000	108558.000000
125		0.000000	0.000000	0.000000	108558.000000
130		0.000000	0.000000	0.000000	108558.000000
135		0.000000	0.000000	0.000000	108558.000000
140		0.000000	0.000000	0.000000	108558.000000
145		0.000000	0.000000	0.000000	108558.000000
150		0.000000	0.000000	0.000000	108558.000000
155		0.000000	0.000000	0.000000	108558.000000
160		0.000000	0.000000	0.000000	108558.000000
165		0.000000	0.000000	0.000000	108558.000000
170		0.000000	0.000000	0.000000	108558.000000
175		0.000000	0.000000	0.000000	108558.000000
