Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	2645.555367	81.355412	1155.000000	0.075684	102611.000000	65.197915
65	3891.080615	98.841353	1694.000000	0.092872	102611.000000	69.298597
70	4156.258553	102.286646	1806.000000	0.087398	102611.000000	74.037044
75	7088.579005	133.160033	3330.000000	0.158553	102611.000000	80.336248
80	8613.159924	146.595015	3903.000000	0.170177	102611.000000	82.598705
85	13286.733285	181.943062	5858.000000	0.237242	102611.000000	86.995783
90	11072.104666	166.593479	4876.000000	0.196901	102611.000000	91.225242
95	5692.634806	119.327064	2580.000000	0.104357	102611.000000	96.828748
100	7290.880290	134.893905	3141.000000	0.121429	102611.000000	104.571207
105	5929.228273	121.934786	2565.000000	0.107960	102611.000000	108.636459
110	2739.699330	82.845712	1229.000000	0.072821	102611.000000	112.264354
135	2928.136243	85.561340	1627.000000	0.203988	102611.000000	137.197022
140	4686.197065	108.293032	2103.000000	0.317127	102611.000000	141.180296
145	982.508016	50.072339	478.000000	0.081052	102611.000000	149.430452
150	3195.515293	89.449693	1468.000000	0.270949	102611.000000	150.450899
155	2551.590655	79.907765	1170.000000	0.238968	102611.000000	157.756634
160	1148.355193	53.718527	531.000000	0.124580	102611.000000	162.705204
