Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	160118.000000
5		0.000000	0.000000	0.000000	160118.000000
10		0.000000	0.000000	0.000000	160118.000000
15		0.000000	0.000000	0.000000	160118.000000
20		0.000000	0.000000	0.000000	160118.000000
25		0.000000	0.000000	0.000000	160118.000000
30		0.000000	0.000000	0.000000	160118.000000
35		0.000000	0.000000	0.000000	160118.000000
40		0.000000	0.000000	0.000000	160118.000000
45		0.000000	0.000000	0.000000	160118.000000
50		0.000000	0.000000	0.000000	160118.000000
55		0.000000	0.016835	452.000000	160118.000000
60		1.000000	0.071369	2091.000000	160118.000000
65		1.000000	0.119563	3600.000000	160118.000000
70		0.000000	0.086402	2762.000000	160118.000000
75		3.000000	0.193300	5356.000000	160118.000000
80		6.000000	0.188236	5601.000000	160118.000000
85		12.000000	0.207296	6151.000000	160118.000000
90		1.000000	0.207166	5878.000000	160118.000000
95		8.000000	0.156628	4869.000000	160118.000000
100		2.000000	0.078607	2281.000000	160118.000000
105		10.000000	0.116797	3285.000000	160118.000000
110		4.000000	0.093500	2325.000000	160118.000000
115		0.000000	0.011046	320.000000	160118.000000
120		0.000000	0.000000	0.000000	160118.000000
125		0.000000	0.000000	0.000000	160118.000000
130		0.000000	0.000000	0.000000	160118.000000
135		0.000000	0.000000	0.000000	160118.000000
140		0.000000	0.000000	0.000000	160118.000000
145		0.000000	0.000000	0.000000	160118.000000
150		0.000000	0.000000	0.000000	160118.000000
155		0.000000	0.000000	0.000000	160118.000000
160		0.000000	0.000000	0.000000	160118.000000
165		0.000000	0.000000	0.000000	160118.000000
170		0.000000	0.000000	0.000000	160118.000000
175		0.000000	0.000000	0.000000	160118.000000
