Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	251.088399	27.683078	115.000000	0.075684	25123.000000	64.302398
65	277.933458	61.665787	123.000000	0.092872	25123.000000	67.452185
70	245.453776	45.917485	99.000000	0.087398	25123.000000	75.441710
75	414.200517	108.662865	125.000000	0.158553	25123.000000	81.377421
80	533.522887	404.800055	75.000000	0.149925	25123.000000	83.255643
85	486.989281	210.579469	101.000000	0.212383	25123.000000	92.517927
90	354.776757	127.990624	74.000000	0.166234	25123.000000	94.325162
95	1145.481985	13919.356158	39.000000	0.087826	25123.000000	98.562205
100	258.550474	97.810320	53.000000	0.110813	25123.000000	106.823354
105	248.969519	45.493702	91.000000	0.107960	25123.000000	111.891659
110	212.429256	54.278851	78.000000	0.072821	25123.000000	113.731857
135	798.996621	44.823454	481.000000	0.185843	25123.000000	139.638587
140	1616.916049	63.948457	798.000000	0.308541	25123.000000	141.241086
145	428.493695	36.058031	231.000000	0.081052	25123.000000	149.635153
150	1592.112432	64.164343	801.000000	0.262397	25123.000000	154.189275
155	1724.978279	65.896049	805.000000	0.236909	25123.000000	159.389611
160	823.275258	46.714810	417.000000	0.122773	25123.000000	162.275032
