Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	69.628012	94.318227	7.000000	0.024137	34196.000000	65.800478
65	38345.663563	136735.937761	11.000000	0.046274	34196.000000	71.125739
70	34322.725290	394332.887142	15.000000	0.049995	34196.000000	73.661091
75	189.046898	91.940032	25.000000	0.087026	34196.000000	80.048402
80	1106.798075	3104.844928	26.000000	0.096578	34196.000000	82.821378
85	527.971651	492.866431	27.000000	0.110209	34196.000000	88.548016
90	545.038463	942.185111	21.000000	0.083458	34196.000000	91.859997
95	5.721123	60.313698	10.000000	0.043421	34196.000000	97.496909
100	5.722821	63.978796	12.000000	0.048805	34196.000000	102.374945
105	491481.217865	2620652.473393	13.000000	0.045721	34196.000000	106.705886
110	41.064175	59.170208	7.000000	0.034845	34196.000000	113.579654
135	8532379062.322896	33708157122.475513	27.000000	0.048668	34196.000000	139.810066
140	1070077.413558	2816736.136013	35.000000	0.065980	34196.000000	142.708663
145	84216.623295	2097012.899974	8.000000	0.014843	34196.000000	149.172487
150	5.166099	1.317540	26.000000	0.051152	34196.000000	152.737956
155	23235.492868	73537.589014	26.000000	0.044645	34196.000000	158.719752
160	80.587173	87.377942	17.000000	0.026708	34196.000000	160.405182
