Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	40667.000000
5		0.000000	0.000000	0.000000	40667.000000
10		0.000000	0.000000	0.000000	40667.000000
15		0.000000	0.000000	0.000000	40667.000000
20		0.000000	0.000000	0.000000	40667.000000
25		0.000000	0.000000	0.000000	40667.000000
30		0.000000	0.000000	0.000000	40667.000000
35		0.000000	0.000000	0.000000	40667.000000
40		0.000000	0.000000	0.000000	40667.000000
45		0.000000	0.000000	0.000000	40667.000000
50		0.000000	0.000000	0.000000	40667.000000
55		0.000000	0.016835	179.000000	40667.000000
60		1.000000	0.084141	986.000000	40667.000000
65		0.000000	0.091606	1231.000000	40667.000000
70		0.000000	0.101141	1447.000000	40667.000000
75		1.000000	0.194341	2173.000000	40667.000000
80		0.000000	0.186274	2793.000000	40667.000000
85		2.000000	0.204175	3250.000000	40667.000000
90		3.000000	0.232058	3892.000000	40667.000000
95		1.000000	0.117751	2230.000000	40667.000000
100		1.000000	0.100893	2062.000000	40667.000000
105		1.000000	0.102759	2171.000000	40667.000000
110		2.000000	0.108969	2283.000000	40667.000000
115		1.000000	0.005803	148.000000	40667.000000
120		0.000000	0.000000	0.000000	40667.000000
125		0.000000	0.000000	0.000000	40667.000000
130		0.000000	0.000000	0.000000	40667.000000
135		0.000000	0.000000	0.000000	40667.000000
140		0.000000	0.000000	0.000000	40667.000000
145		0.000000	0.000000	0.000000	40667.000000
150		0.000000	0.000000	0.000000	40667.000000
155		0.000000	0.000000	0.000000	40667.000000
160		0.000000	0.000000	0.000000	40667.000000
165		0.000000	0.000000	0.000000	40667.000000
170		0.000000	0.000000	0.000000	40667.000000
175		0.000000	0.000000	0.000000	40667.000000
