Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	28858.000000
5		0.000000	0.000000	0.000000	28858.000000
10		0.000000	0.000000	0.000000	28858.000000
15		0.000000	0.000000	0.000000	28858.000000
20		0.000000	0.000000	0.000000	28858.000000
25		0.000000	0.000000	0.000000	28858.000000
30		0.000000	0.000000	0.000000	28858.000000
35		0.000000	0.000000	0.000000	28858.000000
40		0.000000	0.000000	0.000000	28858.000000
45		0.000000	0.000000	0.000000	28858.000000
50		0.000000	0.000000	0.000000	28858.000000
55		0.000000	0.016544	0.000000	28858.000000
60		0.000000	0.083163	5.000000	28858.000000
65		1.000000	0.098346	6.000000	28858.000000
70		0.000000	0.084627	13.000000	28858.000000
75		0.000000	0.176617	33.000000	28858.000000
80		0.000000	0.205513	50.000000	28858.000000
85		0.000000	0.230331	72.000000	28858.000000
90		0.000000	0.174969	65.000000	28858.000000
95		0.000000	0.103273	63.000000	28858.000000
100		0.000000	0.103266	62.000000	28858.000000
105		0.000000	0.103934	46.000000	28858.000000
110		0.000000	0.032849	15.000000	28858.000000
115		0.000000	0.011499	0.000000	28858.000000
120		0.000000	0.000000	0.000000	28858.000000
125		0.000000	0.000000	0.000000	28858.000000
130		0.000000	0.000000	0.000000	28858.000000
135		0.000000	0.000000	0.000000	28858.000000
140		0.000000	0.000000	0.000000	28858.000000
145		0.000000	0.000000	0.000000	28858.000000
150		0.000000	0.000000	0.000000	28858.000000
155		0.000000	0.000000	0.000000	28858.000000
160		0.000000	0.000000	0.000000	28858.000000
165		0.000000	0.000000	0.000000	28858.000000
170		0.000000	0.000000	0.000000	28858.000000
175		0.000000	0.000000	0.000000	28858.000000
