Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	72056.000000
5		0.000000	0.000000	0.000000	72056.000000
10		0.000000	0.000000	0.000000	72056.000000
15		0.000000	0.000000	0.000000	72056.000000
20		0.000000	0.000000	0.000000	72056.000000
25		0.000000	0.000000	0.000000	72056.000000
30		0.000000	0.000000	0.000000	72056.000000
35		0.000000	0.000000	0.000000	72056.000000
40		0.000000	0.000000	0.000000	72056.000000
45		0.000000	0.000000	0.000000	72056.000000
50		0.000000	0.000000	0.000000	72056.000000
55		0.000000	0.012352	243.000000	72056.000000
60		0.000000	0.074122	1846.000000	72056.000000
65		0.000000	0.103143	3247.000000	72056.000000
70		1.000000	0.110045	3633.000000	72056.000000
75		0.000000	0.169029	4385.000000	72056.000000
80		3.000000	0.222800	7881.000000	72056.000000
85		7.000000	0.199901	7473.000000	72056.000000
90		2.000000	0.184366	7590.000000	72056.000000
95		2.000000	0.142985	5738.000000	72056.000000
100		7.000000	0.118544	5433.000000	72056.000000
105		6.000000	0.113271	5380.000000	72056.000000
110		3.000000	0.069259	3153.000000	72056.000000
115		0.000000	0.026928	1287.000000	72056.000000
120		0.000000	0.000000	0.000000	72056.000000
125		0.000000	0.000000	0.000000	72056.000000
130		0.000000	0.000000	0.000000	72056.000000
135		0.000000	0.000000	0.000000	72056.000000
140		0.000000	0.000000	0.000000	72056.000000
145		0.000000	0.000000	0.000000	72056.000000
150		0.000000	0.000000	0.000000	72056.000000
155		0.000000	0.000000	0.000000	72056.000000
160		0.000000	0.000000	0.000000	72056.000000
165		0.000000	0.000000	0.000000	72056.000000
170		0.000000	0.000000	0.000000	72056.000000
175		0.000000	0.000000	0.000000	72056.000000
