Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	47354.000000
5		0.000000	0.000000	0.000000	47354.000000
10		0.000000	0.000000	0.000000	47354.000000
15		0.000000	0.000000	0.000000	47354.000000
20		0.000000	0.000000	0.000000	47354.000000
25		0.000000	0.000000	0.000000	47354.000000
30		0.000000	0.000000	0.000000	47354.000000
35		0.000000	0.000000	0.000000	47354.000000
40		0.000000	0.000000	0.000000	47354.000000
45		0.000000	0.000000	0.000000	47354.000000
50		0.000000	0.000000	0.000000	47354.000000
55		0.000000	0.008494	2.000000	47354.000000
60		0.000000	0.075241	29.000000	47354.000000
65		0.000000	0.118574	34.000000	47354.000000
70		0.000000	0.087287	24.000000	47354.000000
75		0.000000	0.193340	45.000000	47354.000000
80		0.000000	0.197869	61.000000	47354.000000
85		0.000000	0.201695	75.000000	47354.000000
90		0.000000	0.182029	80.000000	47354.000000
95		0.000000	0.133108	116.000000	47354.000000
100		0.000000	0.103524	129.000000	47354.000000
105		0.000000	0.081914	96.000000	47354.000000
110		0.000000	0.050992	51.000000	47354.000000
115		0.000000	0.005536	1.000000	47354.000000
120		0.000000	0.000000	0.000000	47354.000000
125		0.000000	0.000000	0.000000	47354.000000
130		0.000000	0.000000	0.000000	47354.000000
135		0.000000	0.000000	0.000000	47354.000000
140		0.000000	0.000000	0.000000	47354.000000
145		0.000000	0.000000	0.000000	47354.000000
150		0.000000	0.000000	0.000000	47354.000000
155		0.000000	0.000000	0.000000	47354.000000
160		0.000000	0.000000	0.000000	47354.000000
165		0.000000	0.000000	0.000000	47354.000000
170		0.000000	0.000000	0.000000	47354.000000
175		0.000000	0.000000	0.000000	47354.000000
