Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	62044.000000
5		0.000000	0.000000	0.000000	62044.000000
10		0.000000	0.000000	0.000000	62044.000000
15		0.000000	0.000000	0.000000	62044.000000
20		0.000000	0.000000	0.000000	62044.000000
25		0.000000	0.000000	0.000000	62044.000000
30		0.000000	0.000000	0.000000	62044.000000
35		0.000000	0.000000	0.000000	62044.000000
40		0.000000	0.000000	0.000000	62044.000000
45		0.000000	0.000000	0.000000	62044.000000
50		0.000000	0.000000	0.000000	62044.000000
55		0.000000	0.016835	264.000000	62044.000000
60		0.000000	0.091085	1569.000000	62044.000000
65		0.000000	0.084276	1627.000000	62044.000000
70		0.000000	0.076811	1694.000000	62044.000000
75		0.000000	0.218396	4325.000000	62044.000000
80		1.000000	0.191401	4642.000000	62044.000000
85		5.000000	0.203240	5192.000000	62044.000000
90		3.000000	0.201474	5039.000000	62044.000000
95		1.000000	0.145367	3757.000000	62044.000000
100		5.000000	0.110967	3277.000000	62044.000000
105		1.000000	0.087613	2628.000000	62044.000000
110		1.000000	0.097420	2412.000000	62044.000000
115		1.000000	0.021861	486.000000	62044.000000
120		0.000000	0.000000	0.000000	62044.000000
125		0.000000	0.000000	0.000000	62044.000000
130		0.000000	0.000000	0.000000	62044.000000
135		0.000000	0.000000	0.000000	62044.000000
140		0.000000	0.000000	0.000000	62044.000000
145		0.000000	0.000000	0.000000	62044.000000
150		0.000000	0.000000	0.000000	62044.000000
155		0.000000	0.000000	0.000000	62044.000000
160		0.000000	0.000000	0.000000	62044.000000
165		0.000000	0.000000	0.000000	62044.000000
170		0.000000	0.000000	0.000000	62044.000000
175		0.000000	0.000000	0.000000	62044.000000
