Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	7486.016793	136.848254	3251.000000	0.075684	114251.000000	65.161098
65	9803.730551	156.597034	4265.000000	0.092872	114251.000000	69.388262
70	9729.179036	156.081896	4228.000000	0.087398	114251.000000	73.386365
75	16157.560058	201.020252	7694.000000	0.158553	114251.000000	80.785767
80	18616.163065	215.696346	8526.000000	0.170177	114251.000000	82.687931
85	26832.727810	258.506318	11901.000000	0.237242	114251.000000	88.670549
90	20571.386536	226.841970	9085.000000	0.196901	114251.000000	92.844951
95	11275.192030	168.026997	5051.000000	0.104357	114251.000000	100.948543
100	12758.655720	178.693412	5551.000000	0.121429	114251.000000	104.868841
105	10181.498746	159.611370	4440.000000	0.107960	114251.000000	108.672534
110	3613.448349	95.125199	1610.000000	0.072821	114251.000000	112.349568
135	18439.324117	216.615895	9470.000000	0.203988	114251.000000	138.415819
140	37327.201340	304.155493	15961.000000	0.317127	114251.000000	140.922741
145	10408.029438	161.315413	4560.000000	0.081052	114251.000000	149.210270
150	39140.025698	312.822957	16911.000000	0.270949	114251.000000	149.576593
155	41329.843589	321.461201	17621.000000	0.238968	114251.000000	158.021037
160	24554.166994	247.762994	10533.000000	0.124580	114251.000000	161.057130
