Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	13450.112843	183.393879	5817.000000	0.075684	184104.000000	64.101436
65	18930.247821	217.601917	8221.000000	0.092872	184104.000000	68.344023
70	19785.327336	222.482764	8587.000000	0.087398	184104.000000	71.046371
75	33288.797359	287.610057	15722.000000	0.158553	184104.000000	77.922138
80	40284.276039	318.288420	18389.000000	0.170177	184104.000000	83.077778
85	63614.719881	398.356591	28105.000000	0.237242	184104.000000	87.798117
90	53350.333910	365.944483	23495.000000	0.196901	184104.000000	95.152204
95	29268.783574	270.671572	13017.000000	0.104357	184104.000000	100.540565
100	37499.424543	306.288912	16297.000000	0.121429	184104.000000	105.099535
105	35446.143557	297.698010	15258.000000	0.107960	184104.000000	105.981281
110	19417.212000	220.155493	8356.000000	0.072821	184104.000000	112.655866
135	41837.270721	318.878764	21538.000000	0.203988	184104.000000	139.641324
140	75499.277684	435.016814	32639.000000	0.317127	184104.000000	142.874027
145	19323.837762	219.800943	8453.000000	0.081052	184104.000000	147.843082
150	64754.757166	402.351920	28206.000000	0.270949	184104.000000	152.442774
155	58319.602385	381.838817	25237.000000	0.238968	184104.000000	154.636904
160	31396.087931	280.302152	13697.000000	0.124580	184104.000000	161.705752
