Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	12455.000000
5		0.000000	0.000000	0.000000	12455.000000
10		0.000000	0.000000	0.000000	12455.000000
15		0.000000	0.000000	0.000000	12455.000000
20		0.000000	0.000000	0.000000	12455.000000
25		0.000000	0.000000	0.000000	12455.000000
30		0.000000	0.000000	0.000000	12455.000000
35		0.000000	0.000000	0.000000	12455.000000
40		0.000000	0.000000	0.000000	12455.000000
45		0.000000	0.000000	0.000000	12455.000000
50		0.000000	0.000000	0.000000	12455.000000
55		0.000000	0.025092	0.000000	12455.000000
60		0.000000	0.070345	1.000000	12455.000000
65		0.000000	0.079348	3.000000	12455.000000
70		0.000000	0.105406	3.000000	12455.000000
75		0.000000	0.188696	14.000000	12455.000000
80		0.000000	0.200318	8.000000	12455.000000
85		0.000000	0.145833	6.000000	12455.000000
90		0.000000	0.184288	9.000000	12455.000000
95		0.000000	0.107773	11.000000	12455.000000
100		0.000000	0.066506	6.000000	12455.000000
105		0.000000	0.048280	4.000000	12455.000000
110		0.000000	0.016195	1.000000	12455.000000
115		0.000000	0.000000	0.000000	12455.000000
120		0.000000	0.000000	0.000000	12455.000000
125		0.000000	0.000000	0.000000	12455.000000
130		0.000000	0.000000	0.000000	12455.000000
135		0.000000	0.000000	0.000000	12455.000000
140		0.000000	0.000000	0.000000	12455.000000
145		0.000000	0.000000	0.000000	12455.000000
150		0.000000	0.000000	0.000000	12455.000000
155		0.000000	0.000000	0.000000	12455.000000
160		0.000000	0.000000	0.000000	12455.000000
165		0.000000	0.000000	0.000000	12455.000000
170		0.000000	0.000000	0.000000	12455.000000
175		0.000000	0.000000	0.000000	12455.000000
