Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	102611.000000
5		0.000000	0.000000	0.000000	102611.000000
10		0.000000	0.000000	0.000000	102611.000000
15		0.000000	0.000000	0.000000	102611.000000
20		0.000000	0.000000	0.000000	102611.000000
25		0.000000	0.000000	0.000000	102611.000000
30		0.000000	0.000000	0.000000	102611.000000
35		0.000000	0.000000	0.000000	102611.000000
40		0.000000	0.000000	0.000000	102611.000000
45		0.000000	0.000000	0.000000	102611.000000
50		0.000000	0.000000	0.000000	102611.000000
55		0.000000	0.020440	235.000000	102611.000000
60		1.000000	0.087773	1166.000000	102611.000000
65		0.000000	0.078888	1256.000000	102611.000000
70		0.000000	0.113454	1943.000000	102611.000000
75		3.000000	0.188139	2853.000000	102611.000000
80		0.000000	0.208109	3855.000000	102611.000000
85		2.000000	0.195840	3771.000000	102611.000000
90		1.000000	0.185104	3557.000000	102611.000000
95		1.000000	0.153025	2917.000000	102611.000000
100		2.000000	0.112452	2562.000000	102611.000000
105		3.000000	0.095805	1913.000000	102611.000000
110		1.000000	0.091133	1429.000000	102611.000000
115		0.000000	0.016581	270.000000	102611.000000
120		0.000000	0.000000	0.000000	102611.000000
125		0.000000	0.000000	0.000000	102611.000000
130		0.000000	0.000000	0.000000	102611.000000
135		0.000000	0.000000	0.000000	102611.000000
140		0.000000	0.000000	0.000000	102611.000000
145		0.000000	0.000000	0.000000	102611.000000
150		0.000000	0.000000	0.000000	102611.000000
155		0.000000	0.000000	0.000000	102611.000000
160		0.000000	0.000000	0.000000	102611.000000
165		0.000000	0.000000	0.000000	102611.000000
170		0.000000	0.000000	0.000000	102611.000000
175		0.000000	0.000000	0.000000	102611.000000
