Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	119061.000000
5		0.000000	0.000000	0.000000	119061.000000
10		0.000000	0.000000	0.000000	119061.000000
15		0.000000	0.000000	0.000000	119061.000000
20		0.000000	0.000000	0.000000	119061.000000
25		0.000000	0.000000	0.000000	119061.000000
30		0.000000	0.000000	0.000000	119061.000000
35		0.000000	0.000000	0.000000	119061.000000
40		0.000000	0.000000	0.000000	119061.000000
45		0.000000	0.000000	0.000000	119061.000000
50		0.000000	0.000000	0.000000	119061.000000
55		0.000000	0.012020	77.000000	119061.000000
60		0.000000	0.085238	549.000000	119061.000000
65		0.000000	0.082270	504.000000	119061.000000
70		1.000000	0.102929	574.000000	119061.000000
75		0.000000	0.168588	878.000000	119061.000000
80		0.000000	0.227783	1227.000000	119061.000000
85		2.000000	0.213279	1299.000000	119061.000000
90		2.000000	0.222730	1166.000000	119061.000000
95		0.000000	0.120065	701.000000	119061.000000
100		0.000000	0.089352	590.000000	119061.000000
105		3.000000	0.114868	800.000000	119061.000000
110		2.000000	0.069234	372.000000	119061.000000
115		1.000000	0.038391	195.000000	119061.000000
120		0.000000	0.000000	0.000000	119061.000000
125		0.000000	0.000000	0.000000	119061.000000
130		0.000000	0.000000	0.000000	119061.000000
135		0.000000	0.000000	0.000000	119061.000000
140		0.000000	0.000000	0.000000	119061.000000
145		0.000000	0.000000	0.000000	119061.000000
150		0.000000	0.000000	0.000000	119061.000000
155		0.000000	0.000000	0.000000	119061.000000
160		0.000000	0.000000	0.000000	119061.000000
165		0.000000	0.000000	0.000000	119061.000000
170		0.000000	0.000000	0.000000	119061.000000
175		0.000000	0.000000	0.000000	119061.000000
