Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
60	3464.793044	93.194254	1501.000000	0.075684	62044.000000	61.632203
65	4960.868469	111.405638	2169.000000	0.092872	62044.000000	68.426436
70	5218.143136	114.297088	2297.000000	0.087398	62044.000000	71.913513
75	9085.975638	150.692950	4335.000000	0.158553	62044.000000	79.591684
80	11128.815303	165.485628	5093.000000	0.170177	62044.000000	85.022276
85	17254.419630	207.743863	7679.000000	0.237242	62044.000000	87.350987
90	14340.961410	188.864517	6343.000000	0.196901	62044.000000	92.587161
95	8006.841437	141.529787	3576.000000	0.104357	62044.000000	96.935769
100	9997.338428	158.190310	4358.000000	0.121429	62044.000000	104.694633
105	8399.064581	149.198273	3695.000000	0.107960	62044.000000	109.403656
110	4242.436959	103.175806	1883.000000	0.072821	62044.000000	112.167327
135	6147.629942	123.972213	3195.000000	0.203988	62044.000000	139.629032
140	10440.032800	160.751241	4546.000000	0.317127	62044.000000	142.931534
145	2252.460955	75.276322	1020.000000	0.081052	62044.000000	147.803686
150	7587.070451	138.474180	3362.000000	0.270949	62044.000000	153.179192
155	6273.858374	125.304429	2788.000000	0.238968	62044.000000	155.418240
160	2948.302674	86.238727	1329.000000	0.124580	62044.000000	159.732805
