Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	14637.000000
5		0.000000	0.000000	0.000000	14637.000000
10		0.000000	0.000000	0.000000	14637.000000
15		0.000000	0.000000	0.000000	14637.000000
20		0.000000	0.000000	0.000000	14637.000000
25		0.000000	0.000000	0.000000	14637.000000
30		0.000000	0.000000	0.000000	14637.000000
35		0.000000	0.000000	0.000000	14637.000000
40		0.000000	0.000000	0.000000	14637.000000
45		0.000000	0.000000	0.000000	14637.000000
50		0.000000	0.000000	0.000000	14637.000000
55		0.000000	0.028305	59.000000	14637.000000
60		0.000000	0.077125	219.000000	14637.000000
65		0.000000	0.082852	303.000000	14637.000000
70		0.000000	0.092830	358.000000	14637.000000
75		0.000000	0.209693	675.000000	14637.000000
80		0.000000	0.189232	785.000000	14637.000000
85		0.000000	0.190514	861.000000	14637.000000
90		0.000000	0.228202	1019.000000	14637.000000
95		0.000000	0.124424	638.000000	14637.000000
100		0.000000	0.137248	807.000000	14637.000000
105		0.000000	0.065986	360.000000	14637.000000
110		0.000000	0.097838	595.000000	14637.000000
115		1.000000	0.022497	161.000000	14637.000000
120		0.000000	0.000000	0.000000	14637.000000
125		0.000000	0.000000	0.000000	14637.000000
130		0.000000	0.000000	0.000000	14637.000000
135		0.000000	0.000000	0.000000	14637.000000
140		0.000000	0.000000	0.000000	14637.000000
145		0.000000	0.000000	0.000000	14637.000000
150		0.000000	0.000000	0.000000	14637.000000
155		0.000000	0.000000	0.000000	14637.000000
160		0.000000	0.000000	0.000000	14637.000000
165		0.000000	0.000000	0.000000	14637.000000
170		0.000000	0.000000	0.000000	14637.000000
175		0.000000	0.000000	0.000000	14637.000000
