Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	184104.000000
5		0.000000	0.000000	0.000000	184104.000000
10		0.000000	0.000000	0.000000	184104.000000
15		0.000000	0.000000	0.000000	184104.000000
20		0.000000	0.000000	0.000000	184104.000000
25		0.000000	0.000000	0.000000	184104.000000
30		0.000000	0.000000	0.000000	184104.000000
35		0.000000	0.000000	0.000000	184104.000000
40		0.000000	0.000000	0.000000	184104.000000
45		0.000000	0.000000	0.000000	184104.000000
50		0.000000	0.000000	0.000000	184104.000000
55		0.000000	0.020624	1228.000000	184104.000000
60		0.000000	0.075495	5012.000000	184104.000000
65		0.000000	0.091937	6849.000000	184104.000000
70		4.000000	0.096720	7947.000000	184104.000000
75		6.000000	0.201454	13950.000000	184104.000000
80		13.000000	0.217284	18680.000000	184104.000000
85		19.000000	0.178158	16314.000000	184104.000000
90		18.000000	0.218928	20731.000000	184104.000000
95		24.000000	0.150135	14712.000000	184104.000000
100		15.000000	0.086555	9729.000000	184104.000000
105		30.000000	0.106891	13046.000000	184104.000000
110		20.000000	0.068654	6811.000000	184104.000000
115		2.000000	0.033910	3600.000000	184104.000000
120		0.000000	0.000000	0.000000	184104.000000
125		0.000000	0.000000	0.000000	184104.000000
130		0.000000	0.000000	0.000000	184104.000000
135		0.000000	0.000000	0.000000	184104.000000
140		0.000000	0.000000	0.000000	184104.000000
145		0.000000	0.000000	0.000000	184104.000000
150		0.000000	0.000000	0.000000	184104.000000
155		0.000000	0.000000	0.000000	184104.000000
160		0.000000	0.000000	0.000000	184104.000000
165		0.000000	0.000000	0.000000	184104.000000
170		0.000000	0.000000	0.000000	184104.000000
175		0.000000	0.000000	0.000000	184104.000000
