FI	theta
5	104.981989
12	73.578057
10	85.358848
12	75.849246
2	116.588141
15	65.248504
6	103.844571
14	70.575452
3	113.967233
1	121.475752
14	69.738054
2	115.716125
12	77.328752
14	66.541408
10	83.712440
2	117.723982
4	111.636628
4	109.803616
4	109.498182
3	116.169166
13	73.109436
6	102.993860
7	96.004401
10	86.320371
12	75.057895
9	90.118804
9	88.418112
4	110.678883
12	77.646493
10	86.505000
8	95.268260
8	91.842254
12	76.569385
15	65.123737
3	113.135008
13	75.096379
1	122.063409
4	111.503160
12	74.842638
3	113.248975
12	75.308426
11	78.553108
16	61.503453
4	109.341975
1	121.836679
4	111.113835
2	118.569442
16	61.245377
4	112.283369
9	87.293998
14	69.145849
2	115.602823
5	108.948133
3	110.025269
3	115.759296
6	103.415700
1	116.320159
2	114.349072
9	90.813019
15	66.353778
14	68.846073
3	114.116559
7	98.852146
14	70.016587
12	74.238927
12	74.695906
1	122.919024
6	101.693743
13	72.699281
5	106.984352
10	84.745698
7	99.473531
15	64.714426
10	86.713709
3	116.040021
14	71.565111
10	85.358695
14	68.736056
8	92.021350
5	108.360172
3	110.571454
4	111.199189
3	112.594470
9	88.015406
8	93.140461
13	73.704965
6	103.156743
3	111.455232
7	96.541762
4	109.388779
8	95.557734
3	114.361053
5	106.895245
4	113.231605
15	62.957898
6	103.411269
10	82.578845
9	88.439505
7	97.514538
12	76.677550
16	61.990569
7	100.101969
8	91.616000
11	82.366522
6	103.559249
10	83.157958
6	102.840445
9	88.596792
1	121.358005
12	77.992522
4	110.780779
9	90.507310
7	96.239164
4	112.107291
10	84.759248
2	119.590360
7	97.217712
10	85.360147
7	100.489905
5	107.282272
8	91.935898
1	123.384580
12	74.654400
2	116.991379
2	116.077108
5	106.647801
9	91.150686
1	122.313617
1	120.271194
4	110.781933
11	79.204548
7	97.719256
2	118.084599
7	99.454896
16	60.212642
13	74.578638
3	110.553511
5	107.451536
3	111.245203
5	106.966236
9	88.229657
13	70.515560
12	75.560455
1	120.853592
13	73.980303
7	96.020506
5	104.257829
2	117.650560
10	85.411722
9	87.225567
14	71.428109
9	87.752964
15	63.170012
7	97.842222
11	78.897492
6	102.253020
3	113.900962
9	88.297019
7	98.483463
4	109.274143
2	117.806456
16	59.496901
2	118.941147
14	66.218613
8	95.343580
16	61.166859
10	85.025394
8	94.795517
2	119.199938
1	117.893833
11	81.563306
12	76.663092
3	113.676654
12	76.354839
2	115.267788
14	66.062861
6	102.473323
14	70.486273
10	84.054924
4	111.740804
3	112.426987
9	89.550612
6	103.493371
2	116.642817
15	64.080420
6	103.686265
12	74.930021
6	100.627712
4	111.231551
9	87.242598
11	78.776824
12	75.746551
5	104.438648
13	73.869619
9	89.728789
12	78.007116
11	81.354996
15	63.235823
3	110.029668
4	110.781613
10	85.027687
5	104.209870
8	95.389676
4	112.754227
8	95.040588
16	63.140885
