FI	theta
6	104.448235
9	88.041625
8	91.894151
4	111.345771
13	70.517062
6	103.458561
8	92.997652
7	96.172456
11	80.264522
8	94.431755
7	97.809497
13	71.110373
10	83.178741
10	85.017981
7	98.585958
12	76.510849
3	112.741713
12	76.427250
9	90.022902
7	96.158428
1	118.578894
13	72.220798
11	80.406178
10	84.654737
6	101.937417
5	107.181291
11	79.862723
15	62.817699
8	93.624369
6	101.556018
13	73.260203
5	106.730125
8	91.981093
4	107.312869
5	105.309285
7	99.273091
7	95.969782
7	96.162391
9	90.745075
8	93.433880
9	88.276945
15	66.071784
8	94.283977
8	95.187598
9	87.329045
3	111.859176
6	102.603760
6	102.884313
3	112.657798
5	108.998381
13	70.460755
10	86.606334
9	88.857727
6	102.602858
4	109.487538
11	81.943451
11	81.600012
9	87.650904
3	114.462100
6	103.246708
13	69.637384
13	71.536470
8	92.414612
6	103.698990
9	87.388596
7	96.258037
11	82.437268
8	91.774546
13	70.065437
4	108.756753
6	101.809884
7	98.764358
12	76.958434
5	104.693768
12	73.575601
10	85.384558
8	95.758176
12	77.183170
9	88.096929
10	86.046606
10	86.581419
9	89.546646
10	85.158735
6	102.128379
5	106.421920
12	73.793030
13	70.564229
13	73.211068
8	91.917260
8	91.450879
6	102.752031
15	65.189604
8	93.436088
6	102.262038
12	75.772419
11	78.208243
8	95.635793
7	99.230922
9	88.924445
7	97.101688
10	84.953769
6	103.002802
9	90.940615
10	84.165607
3	112.832472
9	89.713095
8	92.812759
14	68.670881
11	81.969150
14	68.283924
4	110.640562
14	69.032006
15	64.776290
8	93.761725
5	107.387687
14	67.940438
6	102.541781
7	97.729935
5	106.315747
6	101.398441
8	92.850914
6	102.988124
9	88.055088
8	93.761582
11	80.918315
5	106.367603
13	73.131596
11	79.825602
4	107.800701
15	61.559096
14	68.859150
8	94.703909
11	82.192816
4	109.705600
9	87.978139
4	111.489984
9	89.212088
12	78.289799
7	96.611489
12	75.138008
4	107.940292
4	112.678456
6	102.436485
9	88.706149
5	105.029924
12	75.600024
6	102.966261
8	92.702845
10	83.357299
5	104.127030
12	74.763506
3	112.933070
9	87.247294
15	61.964971
8	93.286848
14	68.106787
13	70.662949
9	87.405633
7	97.832383
7	99.271467
10	82.461844
10	86.436727
10	86.589727
12	77.137866
8	91.588162
14	67.153297
8	92.830368
8	95.255216
8	92.484884
13	70.457907
11	80.754213
3	112.055655
7	96.818532
1	122.037732
4	112.204130
12	75.003352
10	86.465203
11	81.298093
13	71.834063
14	67.644309
5	106.193056
4	111.633563
5	107.087486
9	88.922923
12	77.222050
8	93.568092
12	73.463443
6	104.051435
7	95.998719
7	96.414612
11	80.268800
4	110.030706
10	82.433490
11	82.551443
8	91.801955
5	108.589776
9	87.536515
8	94.957853
5	107.267772
4	112.659530
7	98.646400
9	90.581000
8	94.008543
6	100.879491
6	102.643143
15	63.680707
14	67.877814
6	100.842709
5	105.712073
10	86.599657
2	114.795562
9	88.518243
5	106.398658
12	74.425378
9	90.640917
7	100.176608
13	73.098128
12	75.493424
6	103.557455
15	64.209068
1	120.475129
11	81.560464
8	95.182436
2	117.687960
11	81.880300
7	97.367339
8	91.542943
7	99.203980
3	114.842160
8	95.046973
12	73.776953
6	104.730498
3	115.135785
4	107.104756
13	69.501261
10	85.051271
8	91.934236
8	91.703217
13	69.504612
13	73.395907
3	111.803193
7	100.212270
9	88.356921
9	87.971754
7	99.840884
10	85.341946
4	109.531987
8	92.129925
9	89.533864
6	102.360962
8	93.114898
4	111.870750
4	109.811838
4	112.710099
12	77.113224
14	69.446854
9	88.223213
11	80.539041
6	102.457315
9	90.999091
6	103.950553
8	95.075399
12	75.173994
2	117.577350
4	111.258606
9	88.983382
10	84.486474
12	75.701651
10	85.032475
7	96.526327
9	89.224448
13	70.287904
5	105.190500
