FI	theta
12	146.249988
17	142.259592
19	138.817415
8	151.930987
21	136.409075
11	148.307054
10	148.132132
9	149.688181
22	137.342006
2	158.967011
20	137.722080
9	152.045012
19	139.468581
22	137.587259
22	136.676871
24	134.684734
17	140.492391
4	155.550198
2	160.068851
17	140.790028
18	141.744703
9	149.695889
5	155.107633
12	148.457509
18	140.739785
4	156.846209
23	136.582645
8	149.857410
19	138.416086
23	136.454621
18	139.631746
18	140.431955
5	156.588463
23	135.251707
8	150.230409
22	136.475713
24	135.203787
23	136.015328
22	136.231732
5	157.125275
4	158.188183
24	134.463300
6	156.207659
20	139.016302
9	151.223007
22	137.603069
21	136.997918
22	137.866523
23	136.498158
21	136.897324
8	150.220338
19	140.630652
11	147.252092
18	139.246416
23	135.218546
11	148.898777
24	135.635960
24	135.294168
24	134.322434
19	139.034658
2	159.387855
22	137.749418
20	137.871981
7	153.185549
18	139.476159
4	158.691171
2	160.048257
11	147.127996
17	142.945126
24	134.918110
5	157.128874
2	158.815116
8	152.405844
2	158.251110
17	141.178246
6	156.302124
12	146.427223
8	150.209427
2	161.633728
18	141.430102
10	149.929918
5	154.969800
9	152.048417
11	146.432777
17	142.092916
7	153.353033
23	135.636202
6	153.788390
18	139.000178
20	138.430019
19	139.630241
6	154.244885
24	135.581477
19	140.616228
7	152.954890
10	147.572955
11	146.942673
6	153.417250
22	137.356391
8	152.683541
12	146.838372
2	158.965850
24	135.929212
8	150.344974
11	147.662744
18	139.423027
22	137.030874
10	150.753479
8	152.317838
12	148.326557
7	152.766271
10	148.297477
19	140.454387
22	135.546113
9	149.634912
8	151.057643
17	140.894872
8	150.865372
2	159.339858
10	150.928480
17	141.244566
2	161.422763
8	153.032436
5	156.356049
5	156.520596
3	159.792332
11	148.097632
3	159.937696
9	151.473290
21	136.870690
18	141.011612
8	152.322340
7	154.709885
21	137.489698
24	135.436306
20	138.364439
7	154.016100
17	142.412644
19	138.954061
3	157.511139
8	151.616552
19	140.347510
12	145.482734
21	138.738721
24	135.539840
23	134.961958
9	149.713706
19	139.133940
6	156.046529
4	156.882303
17	140.160785
2	158.545386
4	156.207882
7	153.968412
5	155.717016
22	137.674953
20	139.229605
11	148.457462
12	145.494707
10	148.285735
12	145.293407
21	138.128915
7	153.024435
24	134.375897
19	140.127144
24	134.857911
20	138.684904
22	136.049469
8	150.586020
12	146.402696
12	146.527354
7	151.866722
5	155.035487
2	159.204911
7	152.357683
4	157.855125
18	141.755222
20	138.225976
2	157.922370
7	153.680751
19	140.436959
23	135.678824
17	141.463238
18	139.637150
19	139.769133
19	138.191097
19	140.345081
12	146.516563
12	146.005796
5	154.743122
8	152.197495
6	155.427209
18	140.941377
2	159.170109
12	147.161360
3	158.988180
4	157.778937
8	151.456223
6	154.398220
19	140.426503
11	148.008783
4	156.890464
22	136.031592
5	155.222141
4	156.177356
24	134.273863
12	147.468879
5	156.764054
8	152.231168
10	149.925062
11	147.693175
6	155.039758
10	150.586298
7	154.521061
18	141.111146
17	142.356969
5	154.943475
9	149.535004
23	135.177045
5	155.420282
22	137.832834
17	141.385792
24	134.196870
8	151.089977
11	147.298385
24	134.657808
11	147.448696
20	138.274175
12	147.293101
24	135.025430
20	138.301949
24	135.640520
21	137.154789
18	139.570593
6	155.274965
20	138.397491
6	153.199234
19	138.839133
21	138.345454
4	155.579853
19	138.389054
7	154.617915
19	139.324485
23	134.988991
11	146.994697
2	161.005056
7	153.658086
5	155.046312
11	148.009400
4	156.550184
24	134.650332
3	156.939125
20	138.267355
24	134.020307
24	135.387034
10	148.606979
21	137.141096
6	154.227330
6	156.418063
19	138.382264
9	149.718761
22	136.391369
20	138.188421
19	138.917739
18	140.697688
17	141.749012
3	159.468153
21	137.442599
19	139.535041
4	156.693057
7	153.760431
6	154.062042
12	146.022851
5	156.961301
18	139.834501
11	146.620638
11	148.380615
21	137.263970
4	157.297460
12	147.913041
22	136.719779
7	151.975995
4	155.299007
18	140.945137
19	140.505832
4	156.619674
11	146.648747
21	138.865017
11	146.664868
11	147.321198
4	158.018164
9	149.724442
17	141.905728
17	142.090769
21	138.453143
18	141.637830
7	154.836967
2	159.657446
23	136.909551
19	139.229504
9	149.310821
22	137.172671
4	157.524912
18	139.919921
21	137.215014
10	147.462013
12	147.654679
17	142.916724
5	155.482895
7	152.798755
2	160.776959
18	141.632732
23	135.189319
4	156.291806
6	156.213271
22	137.295678
18	140.468262
5	156.255320
10	147.811706
3	158.158520
4	158.888369
17	140.527357
10	150.561591
5	157.068606
9	150.951813
18	141.044114
12	147.653276
23	136.566783
5	155.302048
9	150.701090
10	147.823773
17	140.989065
10	149.152591
7	153.522405
7	155.011684
20	138.664320
5	156.464260
11	147.449845
2	160.097317
9	148.819082
8	150.399314
18	140.050366
3	156.663275
6	152.552545
7	152.328208
12	147.262840
21	137.863325
22	137.599798
20	137.640376
10	148.294008
19	139.145199
20	137.405834
4	155.934930
24	135.087571
17	141.555354
4	157.852538
17	142.583143
19	139.364040
9	149.226695
2	161.078893
3	158.562833
19	139.061949
24	134.111264
22	137.152348
17	141.923572
5	156.806775
4	157.499638
18	139.945492
17	141.162206
3	157.698808
18	141.397696
18	141.362423
3	156.678569
12	146.731827
11	147.943318
6	154.898093
6	152.955363
10	150.017634
12	147.339496
17	140.863756
17	142.057460
19	140.126782
7	153.748801
10	148.577780
4	156.573615
5	155.531583
12	147.900616
11	148.708183
19	139.469979
23	134.974847
10	148.578733
12	145.939728
24	134.465630
24	134.465391
10	150.240264
17	140.390368
23	136.563338
19	140.050450
23	136.415384
6	153.597862
23	135.411064
18	141.904340
7	151.429336
10	150.331335
23	135.478525
3	158.336888
21	137.234419
7	154.418049
24	134.446027
23	135.207713
12	148.368274
12	145.769606
3	158.699377
3	159.756125
20	138.452079
5	157.127836
20	137.793739
21	137.125461
5	154.631087
6	155.135652
19	140.572065
23	135.119798
8	150.889969
2	158.338714
23	136.985044
11	147.829535
3	157.321444
2	161.200661
2	158.369742
20	139.095194
5	153.925089
11	147.429782
12	145.804473
12	147.556768
21	138.362394
3	157.749609
7	152.030108
6	153.030410
23	136.323160
19	140.598248
3	157.876795
9	151.825008
23	136.675579
2	161.212108
9	151.834597
5	157.247700
5	155.473515
23	136.474705
22	138.178995
18	139.418252
10	148.585945
17	140.340155
21	138.473797
20	138.992261
4	155.960217
7	152.202125
20	139.223287
11	147.290187
2	158.180958
9	152.230067
21	138.075425
20	137.967043
11	146.800404
24	135.059275
21	136.964103
10	150.517897
6	153.877391
9	149.199872
22	135.503818
9	150.902295
5	156.547943
7	153.974135
23	137.088141
18	140.070873
19	140.166114
7	151.726288
20	139.798552
7	153.853817
7	153.182724
23	136.426339
18	141.259186
17	140.824096
22	135.901569
12	147.263042
9	150.386204
18	141.238705
11	148.185580
5	156.914355
23	135.505833
7	152.249990
22	136.270833
24	135.724522
8	149.847425
12	146.231177
11	147.895809
9	150.895567
8	152.135568
12	148.773230
23	136.286751
23	135.897021
7	152.252498
19	140.804636
9	151.461737
20	138.408953
11	149.062086
18	141.504330
23	135.872852
22	136.414595
7	154.081107
20	139.134376
19	139.642293
5	153.996675
4	156.888930
12	146.807651
2	160.266709
23	135.924791
7	153.191987
7	152.846661
6	156.406811
19	140.907042
2	161.595556
18	140.031128
20	138.295265
18	139.684140
3	156.642809
18	141.020279
23	135.818683
7	153.837637
8	149.815380
7	152.770878
4	156.322756
9	151.219436
18	141.349489
23	136.818917
6	152.593285
23	136.180779
20	138.216172
23	136.626622
17	142.319090
21	138.969846
6	156.101196
9	149.478495
23	135.445598
21	138.592109
4	157.360699
9	148.863200
2	157.817490
8	150.842424
19	139.786837
21	138.276300
17	140.354043
19	139.008677
12	147.087536
21	137.902282
24	134.149058
9	151.731582
4	155.839355
11	149.207346
8	152.457672
22	136.518469
18	140.486348
20	138.022602
10	149.356350
24	135.410439
8	152.958097
5	156.784203
17	142.186205
20	137.308215
23	136.656394
6	152.875404
19	140.180237
12	147.527853
2	158.211994
5	155.242792
10	147.874618
4	158.859469
6	156.155558
12	148.332086
9	150.411757
18	140.100543
19	139.351902
3	159.325350
24	134.367940
8	152.763489
5	154.095810
24	135.588847
4	158.872442
19	138.951308
20	139.713421
20	138.193251
8	150.939641
22	136.149228
2	159.121807
12	147.089117
9	151.268293
10	148.721884
3	156.782520
5	155.839473
7	151.444768
23	136.666650
23	137.011055
3	156.956474
10	149.156438
17	141.331229
18	139.530416
22	137.057897
2	159.151711
11	149.001880
23	136.116126
21	138.576098
7	153.906992
8	151.128974
19	140.454181
11	149.659113
8	153.766603
7	152.286495
23	135.839873
19	140.494386
2	158.857950
22	135.516483
19	138.611881
5	155.085583
9	150.991329
22	137.781311
3	160.812781
21	137.127472
