FI	theta
5	157.955472
9	150.732600
10	148.859734
23	136.739966
6	153.298503
8	152.635754
3	160.559214
12	146.029417
24	135.205922
12	145.574300
11	148.156909
17	142.319065
22	135.852913
9	149.330053
3	156.977352
6	153.136153
18	141.105017
6	152.623729
20	137.833019
6	153.487851
12	147.050178
3	158.675599
1	161.898925
5	154.671593
17	142.348524
10	150.201392
3	159.632389
23	137.066324
2	161.885314
8	150.967035
8	150.944258
20	138.478651
21	136.541433
20	139.235686
24	136.132827
23	135.884886
22	137.201189
18	141.350827
12	145.931953
23	137.134934
12	145.505301
9	150.974169
10	150.868607
20	137.371837
7	152.869756
10	149.420090
17	141.929949
9	151.501181
23	135.717630
24	134.967401
1	161.222819
23	136.440487
24	135.874361
20	139.188481
8	150.801240
12	145.766395
6	153.475721
18	141.827594
10	150.165194
21	138.910396
19	139.463997
4	157.845591
20	138.051022
23	135.183072
24	136.146161
3	158.250203
6	154.718423
8	153.586163
7	152.856824
10	149.959049
9	149.710295
7	153.832460
3	159.339575
8	152.882634
2	158.353283
3	158.222724
20	138.937705
3	156.430752
17	141.740394
19	138.413397
5	153.654985
17	141.835157
21	137.562634
5	157.122827
22	136.673467
10	150.698591
20	139.883462
18	140.530569
4	157.899706
19	140.372402
3	157.363658
9	152.015276
22	137.543288
24	135.088534
3	158.875429
19	140.746895
3	158.546387
7	151.833822
5	155.413361
18	139.967309
22	136.229843
22	136.768353
5	156.107790
10	150.140250
12	148.395780
12	148.019563
11	149.325582
22	136.135654
17	142.443313
24	135.417537
1	160.836142
18	139.566572
20	139.653105
11	149.194516
8	153.016845
21	138.873952
21	138.409504
20	139.567163
7	154.984741
4	157.423272
7	152.963129
12	148.318939
10	150.994839
19	139.416200
8	150.244935
6	152.816766
17	142.307586
6	152.325292
18	141.167803
1	159.591623
1	160.524510
7	151.610837
21	137.766237
22	136.529455
3	157.257605
5	153.828171
23	136.631788
24	134.992081
17	141.760515
10	147.826191
8	150.087333
9	151.631989
12	147.993681
12	145.782242
8	152.279208
3	158.632520
6	154.733551
11	147.403232
3	159.078816
24	134.189266
17	142.949778
19	140.790086
12	146.571462
17	140.526715
22	137.376079
3	157.604962
1	159.575667
9	149.346709
20	139.440412
20	137.756380
12	146.275276
7	152.498311
22	137.691032
7	154.018130
18	139.880589
5	154.768750
6	154.652408
18	139.563508
20	139.097446
17	140.944482
11	148.939050
24	134.473824
10	147.788726
20	138.376366
23	136.856882
5	156.571871
12	148.579192
24	134.500140
6	155.767418
1	161.156328
18	141.753761
21	137.486646
11	147.751335
7	151.427495
7	154.362204
21	136.976555
6	154.475794
4	157.311055
3	159.106057
6	155.692231
11	146.767399
6	154.769647
19	138.817194
11	146.613494
5	154.218023
23	137.020628
17	141.723263
8	150.861939
5	154.492316
22	135.791013
22	136.301423
23	135.408198
9	151.694528
6	152.310867
4	156.788061
12	146.089312
12	146.393910
22	137.540451
18	140.960541
1	162.149391
21	138.654362
20	137.556322
9	149.083401
11	148.494426
17	142.557442
7	151.401239
22	136.419107
20	139.191281
21	138.339565
11	147.927995
21	137.732984
4	157.347935
8	152.036570
6	155.427633
4	157.743172
24	133.868463
2	159.185047
5	156.125296
12	146.527767
2	160.509329
8	150.809133
8	150.756962
11	149.001851
3	157.591568
2	160.675135
23	136.793762
23	135.347156
11	148.765220
24	135.034627
11	149.868133
18	139.814219
4	156.312922
2	158.969746
24	135.045938
18	141.804334
19	138.215041
20	139.101411
8	152.171342
23	134.669755
23	136.386496
8	153.209489
8	152.458041
22	137.660580
7	154.021640
22	136.656888
24	134.903826
10	149.913518
8	153.541767
18	140.437822
23	136.855323
11	147.847401
9	151.553526
8	152.574096
23	136.023820
6	153.161480
7	152.840732
10	150.810192
20	139.364570
7	154.784861
1	163.262958
9	151.093336
1	163.215646
20	139.465608
8	151.961984
2	161.766597
24	134.798489
9	149.878757
5	155.064722
20	138.374262
20	139.442564
17	141.480903
4	158.660044
4	156.381796
23	135.381455
5	157.307169
19	139.188764
6	153.176375
19	138.719630
19	138.807420
24	134.158314
7	151.677962
12	146.340450
22	137.297642
6	155.854463
20	137.379806
11	147.041025
4	155.630119
4	158.425562
5	157.134766
24	134.943788
12	147.691878
12	147.231555
11	146.752474
12	146.159543
10	150.815868
20	138.360068
6	153.362975
18	141.132385
17	140.412907
10	149.884965
6	153.611754
5	154.865384
8	152.526345
23	135.430661
23	135.627260
18	139.955444
18	141.357175
12	146.561773
8	153.302597
23	135.913896
3	159.476652
18	140.253076
11	147.827242
9	150.182938
4	156.096361
7	153.494786
6	154.473335
9	151.683706
22	136.712418
2	160.238907
22	137.514769
6	154.671059
21	137.288396
2	158.296561
3	159.140742
23	136.848307
21	138.259730
1	160.230173
4	157.729062
9	150.612589
23	136.626524
3	157.369510
23	136.687045
8	151.340570
21	136.943374
17	140.378242
20	139.209336
18	141.132504
10	150.505736
22	136.114294
2	161.719003
20	139.084342
2	160.839390
23	135.067033
21	137.170224
3	157.663185
8	150.896186
20	137.479214
20	137.674659
1	163.780334
5	154.735479
1	162.747159
7	154.446858
3	159.335236
3	159.946369
6	152.929007
17	141.502223
20	137.931377
20	138.875413
7	152.061955
3	157.819465
3	157.991336
10	148.580281
23	136.537729
19	138.675106
18	140.672571
12	146.020040
11	147.294020
9	148.976250
10	148.861097
24	134.281252
3	159.833883
23	134.883420
21	137.747881
4	156.950730
5	155.810122
9	150.868541
24	135.361757
18	141.038079
2	158.321420
7	153.392185
20	137.551229
2	159.607015
9	151.108154
12	148.612902
5	154.599845
23	135.484023
17	140.792241
10	149.979082
8	152.120192
9	151.964967
4	158.529065
9	150.957921
11	148.952697
8	150.601141
2	161.330990
2	161.611477
17	140.486183
2	158.799458
4	155.245220
12	148.715799
18	141.540475
17	143.020072
4	156.054933
8	152.993753
8	150.704261
3	158.912180
7	152.589705
8	152.881081
7	153.866314
20	139.320950
18	141.828811
3	157.621837
21	138.593355
23	134.845027
23	136.432643
6	156.080809
17	142.215060
1	162.924767
11	147.496417
19	138.694114
4	158.288040
17	141.070458
22	136.240044
8	151.197225
1	161.771244
12	147.794959
11	147.116959
20	138.275376
21	137.523297
9	151.028949
9	149.994358
19	139.313227
1	160.008683
8	150.684003
2	160.997689
6	155.420505
24	135.093465
23	135.866038
22	136.745131
23	135.362218
8	151.965063
11	148.091704
21	137.054690
22	136.541780
9	149.650806
9	151.379214
17	140.434982
5	154.314991
1	163.023432
20	138.135751
5	157.018194
20	139.596289
22	136.714800
19	138.187894
20	139.994925
23	136.132772
3	159.504615
23	136.904106
4	158.965735
12	146.411579
17	141.169509
6	152.769212
19	140.163303
12	148.738272
5	155.001510
24	135.438537
20	139.537587
1	159.589796
7	154.817872
10	147.883720
5	156.979098
20	137.683658
5	156.071164
24	135.590443
9	151.855971
19	138.634547
22	137.537237
18	140.761834
2	158.832342
18	140.667294
3	159.707082
19	140.834446
24	135.380853
6	154.549094
9	151.054743
9	149.967593
23	136.654853
4	155.488019
22	136.134736
19	138.901492
12	146.986900
5	155.750916
10	148.781776
20	138.955193
11	149.311832
8	151.849185
3	157.821171
9	151.391339
21	137.574916
17	143.045802
19	140.519821
19	139.176438
17	142.668681
12	146.829618
21	138.582713
10	148.257503
2	158.997586
6	155.819856
23	135.610171
1	162.454825
9	150.622046
1	162.712083
17	141.503233
19	140.336151
8	153.367690
22	137.599505
21	138.472507
18	139.150205
20	138.093415
3	157.596572
24	134.363622
18	139.279226
3	159.686658
19	140.101972
4	156.277567
3	160.210323
24	134.603472
2	159.444343
10	149.918509
5	154.272375
8	150.144273
12	146.428331
20	137.283416
6	153.646342
11	147.159789
7	153.280204
9	150.929412
8	151.208469
2	158.562006
12	145.961600
18	140.312221
19	138.782922
1	162.223266
22	136.821185
21	136.358393
19	138.485068
5	154.578265
22	137.067256
10	150.092865
4	157.109782
9	150.587510
9	149.534431
24	134.951158
2	158.837647
5	154.304128
8	149.980475
22	135.785936
5	157.248069
18	141.487643
1	163.481631
7	151.954717
22	136.560588
18	140.474132
9	149.358683
1	159.963679
3	159.608494
12	146.239923
8	153.023208
7	151.766254
6	155.031069
10	149.106820
3	159.375343
12	145.834263
3	160.821056
10	150.477367
1	159.460007
11	149.077608
24	136.077328
24	135.392527
23	135.870484
17	140.998533
3	158.518517
9	150.432538
4	158.112088
6	154.464523
12	145.872786
5	156.059227
22	137.353908
8	152.229587
9	148.626708
6	153.418015
18	139.975510
9	151.388845
18	139.329226
17	140.769335
18	141.084429
21	137.915998
9	149.025627
4	156.628059
24	135.385810
8	151.189521
17	140.940575
3	160.340944
18	141.557580
10	150.834609
23	135.862937
23	136.825892
12	146.423226
7	154.030066
18	140.544064
21	136.533537
10	149.770111
1	160.043734
22	137.058708
3	157.382570
22	138.070992
11	148.038351
10	149.804940
20	139.412279
5	154.789384
2	158.739277
1	160.331910
23	135.161834
1	163.535484
2	158.242927
17	141.382869
10	148.442196
20	139.449780
11	148.869359
6	154.497705
5	154.573611
8	153.021863
22	136.504567
6	154.117038
6	155.271418
8	151.422868
12	146.166458
18	141.201309
21	137.066579
6	155.317458
8	150.967930
17	142.045982
3	156.794578
21	136.686186
10	148.981522
11	148.436775
9	149.058338
5	155.188472
17	141.175896
23	136.185411
12	145.932365
23	135.548514
4	156.315670
24	134.907513
10	148.341802
10	150.767845
23	136.971168
17	141.665039
7	153.830658
12	147.839608
7	154.916912
20	139.104971
9	149.694887
17	141.121800
7	152.646400
19	138.431526
20	138.554299
8	150.673620
19	138.421455
8	152.931486
9	151.073958
22	135.574492
23	135.103248
9	150.652739
9	151.413405
19	138.972589
17	141.644518
5	155.927124
18	141.239698
23	135.409820
2	159.664589
10	150.388231
24	135.181232
21	138.127545
4	156.391311
3	160.451358
17	142.244086
6	154.698313
6	153.866210
7	152.553441
17	141.465951
7	153.957546
8	152.398343
1	161.823879
10	149.885606
17	141.018745
8	150.243400
21	138.376437
17	141.339401
9	151.346005
9	148.967667
19	140.465313
4	158.555184
4	158.174891
4	156.745924
22	137.704261
1	159.899095
1	161.205796
9	149.690370
18	141.552629
21	138.725175
11	148.668379
20	139.968856
12	145.620836
11	148.033843
5	156.087282
10	150.329919
17	141.466740
7	153.100703
2	160.074586
19	139.990277
11	148.340805
7	154.134189
22	136.737788
4	157.669362
17	140.668657
6	152.807545
7	151.754457
24	135.291661
10	150.228407
3	158.507183
4	158.166145
12	147.887942
17	142.114220
19	139.716687
4	155.250618
9	150.637724
12	147.851022
9	149.936355
23	135.775809
4	155.724287
21	137.812101
20	138.674880
5	155.312572
21	138.287074
12	147.091951
8	152.446658
19	139.998511
8	152.495504
10	147.548211
5	154.762832
8	152.105538
10	148.287952
18	139.306370
9	148.965284
24	134.534282
20	137.947849
10	150.184225
17	141.937883
17	142.149711
12	145.987757
18	140.845760
8	153.089966
